symbol	open	net change
NCR	34.9	0.83
NCS	13.0	0.25
NCX	16.0	-0.15
NCX PR	24.7	-0.20
NCX PRA	24.4	-0.10
NDC	35.8	-0.41
NDE	25.7	-0.27
NDN	34.5	1.45
NE	31.2	-0.65
NEB	17.6	0.07
NEM	23.1	0.18
NEM PR	42.6	0.20
NET	19.4	0.10
NEU	35.3	0.14
NEV	13.9	0.26
NEV PRT	29.1	0.00
NFB	28.1	-0.22
NFF	0.6	0.10
NFG	23.4	0.22
NFI	12.6	-0.10
NFL	15.4	-0.07
NFS	34.0	-0.03
NFS PRA	24.2	-0.01
NFX	35.2	-0.49
NFX PRA	0.0	0.00
NGF	10.1	-0.01
NGG	35.2	0.14
NGI	10.0	0.01
NGT	19.0	0.00
NHI	13.7	0.39
NHI PR	0.0	0.00
NHL	27.5	0.48
NHP	19.5	0.50
NHY	38.6	0.20
NI	23.2	0.54
NI PRA	47.5	-0.50
NI PRB	48.9	0.15
NIC	24.8	-0.20
NIF	15.2	0.12
NIM	11.2	0.24
NIO	14.6	0.19
NJ	39.6	-0.25
NJP	25.2	0.05
NJR	45.1	0.05
NKE	48.4	1.30
NL	12.8	0.06
NLI	3.4	0.14
NLY	14.2	-0.31
NMA	14.9	0.00
NMG A	26.0	0.70
NMG B	24.8	0.45
NMI	11.9	0.03
NMK	17.9	-0.02
NMK PR	0.0	0.00
NMK PRA	0.0	0.00
NMK PRB	46.8	0.00
NMK PRC	0.0	0.00
NMK PRD	52.9	1.00
NMK PRE	64.0	2.00
NMK PRG	70.0	6.25
NMK PRH	0.0	0.00
NMK PRI	0.0	0.00
NMK PRK	0.0	0.00
NMK PRN	0.0	0.00
NMO	14.6	0.02
NMP	14.4	0.00
NMT	15.7	0.08
NMY	15.9	-0.09
NNC	15.5	0.06
NNF	15.1	-0.12
NNJ	15.4	0.09
NNN	12.9	0.15
NNP	15.6	-0.06
NNS	69.6	-0.36
NNY	9.6	-0.09
NOC	100.6	-0.40
NOC PRB	0.0	0.00
NOI	18.8	-0.21
NOK	21.0	0.21
NOP PRA	24.3	0.05
NOP PRB	18.0	-0.31
NOR	19.2	-0.05
NOR PRA	0.0	0.00
NOR PRB	25.2	-0.08
NPC	15.7	0.10
NPF	14.8	0.04
NPI	14.2	0.10
NPK	27.1	0.11
NPM	14.6	0.06
NPP	14.6	0.05
NPT	13.7	0.10
NPV	16.4	-0.16
NPW	1.0	-0.05
NPX	13.8	0.00
NPY	14.4	-0.11
NQC	15.9	-0.06
NQF	15.1	0.12
NQI	15.0	-0.06
NQJ	16.0	0.00
NQM	14.9	0.00
NQN	15.1	-0.08
NQP	15.6	0.03
NQS	14.7	0.09
NQU	14.5	0.11
NR	6.1	0.10
NRD	8.6	0.16
NRG	17.8	0.07
NRI	0.2	0.03
NRU	25.2	0.00
NRV	25.4	0.15
NRX	24.9	0.24
NRY	25.5	0.20
NRZ	19.5	-0.07
NS	1.1	-0.05
NSC	16.5	0.16
NSE	2.2	0.05
NSH	5.2	-0.08
NSI	17.9	-0.04
NSK	0.0	0.00
NSL	8.7	-0.07
NSM	26.8	0.98
NSP PRT	25.0	0.20
NSR PR	38.9	-0.55
NSS	6.9	0.05
NST	41.2	0.00
NSV	1.8	0.01
NT	5.8	0.03
NTC	16.2	0.05
NTG	7.8	0.00
NTK	20.0	0.15
NTL	3.8	-0.04
NTT	20.9	0.05
NTX	14.6	0.14
NTZ	11.7	0.04
NU	17.6	0.07
NUC	16.2	0.00
NUE	41.8	-0.44
NUF	15.1	0.10
NUI	20.6	-0.18
NUM	15.0	0.04
NUN	14.2	0.01
NUO	16.9	0.20
NUS	7.4	0.08
NUT	3.2	-0.03
NUV	9.5	0.04
NVC	15.8	-0.03
NVH	8.5	0.01
NVN	14.6	0.02
NVO	40.8	0.54
NVP PR	24.5	-0.48
NVP PRB	24.5	-0.40
NVS	37.5	0.28
NW PRB	25.7	-0.05
NW PRC	26.6	0.03
NWB	18.6	0.05
NWG	0.0	0.00
NWK	2.7	-0.10
NWL	27.2	0.49
NWN	23.8	0.15
NWS	27.7	0.47
NWS A	23.8	0.40
NWX PRA	25.5	0.08
NX	25.5	0.66
NXC	14.6	0.03
NXL	17.6	0.22
NXL PRA	25.2	-0.06
NXL PRB	24.9	-0.01
NXN	13.8	0.04
NXP	14.2	0.15
NXQ	14.1	0.06
NXR	13.6	-0.05
NXS	9.7	0.07
NXY	20.8	-0.14
NXY PR	25.8	0.17
NXY PRA	25.5	0.16
NYM	18.6	0.02
NYT	40.4	1.14
NZT	15.0	0.35
O	28.2	0.46
O PRB	25.5	-0.13
O PRC	0.0	0.00
OCA	26.2	-0.87
OCN	8.5	0.01
OCQ	12.5	0.28
OCR	20.5	-0.47
ODC	6.6	0.05
ODP	13.7	0.09
OE	2.3	0.02
OEC PRA	0.0	0.00
OEC PRB	63.0	1.00
OEC PRC	0.0	0.00
OEC PRD	0.0	0.00
OEC PRM	0.0	0.00
OEC PRT	25.9	-0.09
OEH	13.0	-0.39
OEI	18.3	-0.20
OFC	10.9	0.15
OFC PRB	25.1	-0.10
OFC PRE	25.1	0.00
OFC PRF	25.1	0.09
OFG	19.5	-0.15
OFG PRA	24.3	-0.18
OGE	21.8	0.05
OGE PR	26.1	0.10
OH	3.3	0.20
OHI	3.2	0.10
OHI PRA	15.9	-0.20
OHI PRB	15.0	-0.25
OHP	24.5	0.51
OI	6.0	0.08
OI PRA	16.1	-0.18
OIA	8.5	0.06
OIB	8.1	-0.04
OIC	0.0	0.00
OII	20.3	-0.50
OIS	8.2	0.75
OJA	25.1	-0.05
OJB	25.1	-0.10
OKE	17.3	0.26
OLN	14.9	0.14
OMC	77.1	-0.28
OME	2.2	0.20
OMG	59.5	1.26
OMI	18.0	-0.50
OMM	4.1	-0.08
OMN	6.0	0.06
OMS	8.0	0.07
OMX	2.8	0.03
ONB PRA	0.0	0.00
ONE	33.3	-0.01
ONE PRBCL	100.9	0.00
ONE PRCCL	0.0	0.00
ONE PRT	25.8	0.31
ONE PRU	27.3	0.00
ONE PRV	26.1	-0.20
ONE PRW	24.9	0.20
OO	10.6	0.18
OPJ	25.1	0.16
ORB	1.5	0.14
ORH	16.0	-0.84
ORI	25.4	0.00
ORN	25.7	0.10
OS	4.4	-0.51
OSG	24.5	0.59
OSI	28.7	0.25
OSM	12.5	-0.03
OST	6.2	0.02
OTE	8.1	0.17
OTL	19.0	0.17
OUI	25.7	0.05
OWC	1.2	0.00
OXM	22.3	0.20
OXY	25.4	0.18
OXY PRB	24.9	0.09
P	55.7	-0.84
P PRC	25.2	-0.01
PAA	25.9	0.00
PAI	14.6	0.10
PAR	4.4	0.10
PAS	13.0	0.12
PB	15.5	0.52
PBG	46.4	-0.04
PBI	36.0	0.69
PBI PR	0.0	0.00
PBR	19.8	0.89
PBR A	19.1	0.59
PBT	5.8	-0.10
PBY	11.7	0.02
PC	10.8	0.30
PCE PR	24.5	-0.40
PCE PRA	23.6	0.05
PCF	6.7	-0.01
PCG	17.9	-0.08
PCH	25.8	-0.50
PCL	28.3	-0.63
PCM	14.2	0.25
PCP	23.0	-0.15
PCQ	15.3	0.07
PCS	23.0	-0.40
PCT	23.8	0.01
PCU	8.9	0.00
PCV	17.4	-0.20
PCW	2.6	0.04
PCX	27.1	0.35
PCZ	26.0	-0.20
PD	28.9	0.15
PDA	10.0	0.30
PDE	13.0	-0.18
PDF	9.6	-0.02
PDG	11.6	-0.16
PDG PRA	22.8	0.20
PDQ	9.2	0.03
PDS	25.2	0.19
PDT	10.9	-0.07
PDX	26.3	3.54
PE PRA	0.0	0.00
PE PRB	0.0	0.00
PE PRC	64.0	1.00
PE PRD	0.0	0.00
PE PRX	0.0	0.00
PEC PRX	22.9	-0.09
PEG	38.7	0.66
PEG PRA	0.0	0.00
PEG PRB	0.0	0.00
PEG PRC	0.0	0.00
PEG PRD	74.0	-0.50
PEG PRE	0.0	0.00
PEG PRR	23.6	-0.23
PEG PRS	24.1	-0.05
PEG PRT	25.4	0.02
PEG PRX	0.0	0.00
PEI	21.9	0.31
PEO	24.3	-0.22
PEP	48.8	-0.04
PEQ	25.3	0.10
PER	16.6	0.25
PFD	14.6	0.09
PFE	42.4	-0.55
PFG	22.4	0.46
PFH	18.0	-0.02
PFO	11.5	0.05
PFP	0.0	0.00
PFP PR	0.0	0.00
PG	74.2	-0.42
PGA	0.6	-0.02
PGB	24.9	-0.56
PGD	12.7	-0.01
PGE	9.2	0.40
PGE PRB	17.6	0.08
PGF	8.3	0.07
PGI	1.3	0.03
PGL	38.6	-0.28
PGM	10.9	0.08
PGN	42.1	0.30
PGO	6.0	-0.19
PGO PRA	23.4	-0.49
PGR	142.5	-3.29
PH	37.0	-0.26
PHA	40.5	0.32
PHG	22.8	0.87
PHI	7.4	-0.19
PHI PRA	18.0	-0.53
PHM	31.6	1.58
PHR	2.9	0.02
PHY	4.2	0.01
PI	8.5	-0.19
PIA	9.2	0.06
PIC	2.3	0.06
PIF	13.6	-0.04
PII	46.3	-0.29
PIJ	24.0	-0.15
PIK	8.0	0.07
PIL	22.9	0.25
PIM	6.2	0.03
PIO	19.3	-0.17
PIR	11.2	-0.25
PIS	24.6	0.00
PIY	24.4	0.00
PKD	3.5	-0.15
PKE	22.6	-0.25
PKG	17.8	-0.01
PKI	26.8	0.24
PKO	24.8	0.00
PKS	12.1	-0.15
PKS PRB	19.6	-0.25
PKX	17.3	0.65
PKY	31.1	-0.35
PKY PRA	24.4	0.01
PL	28.0	-0.45
PL PRS	24.5	0.05
PL PRT	25.1	0.07
PLA	12.0	0.60
PLA A	10.2	0.29
PLB	42.7	-2.07
PLD	19.7	0.10
PLD PRD	23.6	0.29
PLD PRE	25.4	0.34
PLL	20.7	-0.36
PLP	4.6	0.15
PLS	24.5	0.00
PLT	20.9	-0.01
PMB PR	27.0	-0.45
PME	5.5	1.56
PMF	14.8	-0.12
PMG	12.3	0.01
PMH	13.3	0.03
PMI	56.7	-0.96
PMM	8.4	0.05
PMO	13.5	0.03
PMT	6.5	0.01
PNC	56.8	-1.15
PNC PRC	0.0	0.00
PNC PRD	0.0	0.00
PNE	7.0	0.20
PNF	14.6	-0.07
PNG	9.4	0.00
PNK	6.8	0.17
PNM	24.6	-0.12
PNN	17.3	0.04
PNN A	17.3	0.32
PNP	26.9	0.75
PNR	31.3	0.51
PNW	42.2	0.20
PNX	13.1	-0.15
PNY	30.8	1.10
POB	25.3	-0.11
POC	14.3	0.62
POG	26.6	0.35
POI	1.7	0.01
POL	8.7	-0.10
POM	21.6	-0.06
POM PRT	25.1	-1.60
POP	12.4	0.65
POS	27.8	0.04
POT	59.0	-0.36
PP	25.1	0.26
PPB	25.2	0.00
PPD	15.4	-0.10
PPE	7.2	0.00
PPF	12.3	-0.19
PPG	48.9	0.16
PPL	34.0	-0.05
PPL PRA	0.0	0.00
PPL PRB	63.0	0.75
PPL PRC	25.4	0.17
PPL PRD	0.0	0.00
PPL PRE	18.9	0.00
PPM	15.1	0.04
PPP	27.6	-0.25
PPP PRQ	61.8	-0.31
PPR	6.5	0.02
PPS	33.5	0.36
PPS PRA	50.8	0.20
PPS PRB	25.0	0.15
PPS PRC	23.5	-0.04
PPT	6.1	0.05
PPW PRA	24.9	0.00
PPW PRB	24.4	0.05
PQE	33.8	0.80
PR	17.6	0.51
PRA	13.9	0.12
PRE	47.4	-2.05
PRE PRA	24.6	0.02
PRI	53.0	0.22
PRM	2.0	0.18
PRN	23.0	-0.10
PRS	17.5	0.28
PRX	34.0	0.36
PSA	32.9	0.11
PSA A	26.3	-0.03
PSA PRA	27.1	0.00
PSA PRB	0.0	0.00
PSA PRC	24.4	-0.01
PSA PRD	26.6	-0.07
PSA PRE	27.8	-0.07
PSA PRF	27.3	0.00
PSA PRICL	25.3	0.02
PSA PRJ	25.1	-0.02
PSA PRK	25.6	-0.12
PSA PRL	25.4	-0.01
PSA PRM	0.0	0.00
PSA PRQ	26.3	-0.11
PSA PRR	25.1	-0.01
PSC	28.4	0.17
PSD	19.4	-0.15
PSD PR	24.3	0.48
PSD PRC	0.0	0.00
PSO	12.1	0.42
PSR PRC	24.4	0.25
PSS	53.0	0.45
PST PRA	25.0	0.15
PT	7.9	0.13
PTA	3.0	0.05
PTC	2.9	0.09
PTM	9.1	0.00
PTR	18.7	0.37
PTV	16.1	0.09
PTZ	46.1	0.50
PUB	22.1	0.15
PUK	21.3	0.18
PV	28.8	0.50
PVA	37.6	0.89
PVC	5.2	0.21
PVD	24.0	0.30
PVH	8.5	0.04
PVI	4.6	0.10
PVN	3.9	-0.07
PVR	23.0	-0.08
PWG	43.4	-0.10
PWJ PRA	25.1	0.00
PWJ PRB	25.2	-0.05
PWN	7.4	0.56
PWR	15.2	0.05
PX	47.4	-0.21
PXD	16.9	-0.05
PXR	11.1	0.05
PXT	12.9	-0.20
PY	22.2	0.73
PYM	8.0	0.03
PYX	9.8	0.00
PZB	19.8	-0.45
PZL	11.8	0.13
Q	14.0	-3.05
QQQ	34.1	0.49
R	19.0	-0.24
RA	23.1	0.00
RA B	24.1	0.18
RA PRA	22.6	-0.15
RAD	5.7	-0.17
RAH	19.6	-0.20
RAL	32.8	0.04
RAM	4.8	0.00
RAY	0.0	0.00
RBA	26.3	0.70
RBK	20.0	0.83
RBN	27.1	0.25
RBS PRB	26.9	-0.02
RBS PRC	25.7	0.13
RBS PRD	27.7	0.13
RBS PRE	27.3	0.00
RBS PRF	26.6	0.03
RBS PRG	25.3	0.10
RBS PRH	25.3	0.08
RBS PRI	26.2	0.02
RBS PRJ	27.9	-0.26
RBS PRK	26.1	0.07
RBS PRX	26.3	-0.07
RBT	9.5	0.10
RBV	25.3	0.05
RC	5.3	0.00
RCL	11.0	0.57
RCN	12.1	-0.12
RCS	11.3	-0.11
RD	51.0	0.18
RDA	17.5	2.05
RDB	17.2	1.76
RDC	17.5	-0.26
RDK	15.4	-0.32
RDN	34.6	-0.71
RDO	2.6	0.05
RDY	25.1	2.11
RE	68.5	-1.66
REG	24.9	-0.15
REI	28.1	0.15
REI PRA	24.8	-0.25
REI PRC	23.2	0.39
REP	14.3	0.29
REP PRA	23.6	0.04
RES	14.4	-0.01
REV	6.4	0.20
REY	23.3	0.55
RF PR	26.1	0.00
RFI	13.1	-0.15
RFS	9.2	-0.01
RG	13.4	-0.03
RGA	31.7	0.05
RGB	4.0	0.13
RGR	11.4	0.38
RGS	38.0	0.33
RHA	8.4	0.50
RHB	25.3	0.40
RHD	26.3	0.40
RHI	20.1	-0.27
RI	17.4	0.02
RIG	30.1	0.10
RIO PR	20.3	0.56
RIT	66.8	0.05
RJF	29.8	-0.37
RJR	58.2	-1.33
RKT	12.5	0.43
RKY	50.2	-0.22
RL	21.2	0.96
RLF	14.6	-0.27
RLI	39.7	0.60
RLR PRB	25.6	0.10
RMD	56.6	-0.75
RMG	21.0	0.34
RML	12.7	-0.23
RNE	12.4	0.20
RNR	97.5	-0.52
RNS	22.6	0.20
RNT	17.5	0.05
RNT A	0.0	0.00
ROC	3.4	0.10
ROG	33.5	-0.51
ROH	32.6	-0.11
ROK	14.1	-0.17
ROL	16.1	0.20
ROM PR	24.1	-0.20
ROP	41.8	0.85
ROS	3.6	0.11
ROU	0.8	0.08
ROV	14.9	0.18
ROW	1.0	-0.01
RPM	12.5	-0.25
RPO PRA	25.4	0.03
RPT	16.2	0.13
RRC	4.4	0.08
RRI	16.0	-0.31
RS	23.4	-0.05
RSA	27.6	0.95
RSC	13.8	0.01
RSE	26.3	0.05
RSE PRB	39.8	0.00
RSE PRZ	25.0	0.02
RSG	16.9	-0.37
RSH	25.6	-0.47
RST	9.5	-0.10
RT	11.3	0.35
RTI	10.0	-0.23
RTN	32.5	-0.10
RTN PR	57.9	-0.51
RTP	64.5	0.56
RUK	33.1	-0.51
RUS	26.2	0.22
RVT	13.9	0.14
RVT PR	26.0	0.05
RVT PRA	25.7	-0.20
RWT	24.8	-0.14
RWT PRB	30.7	0.10
RWY	6.8	0.14
RX	21.8	-0.13
RY	28.9	0.48
RYG	15.1	-0.23
RYL	50.5	3.58
RYN	42.9	-0.11
RZT	4.5	0.17
S	39.0	0.01
SAB	6.0	0.05
SAC PR	0.0	0.00
SAC PRT	0.0	0.00
SAE	18.6	-0.09
SAF	7.3	0.09
SAH	16.8	0.44
SAI PRW	25.2	0.04
SAM	11.4	0.25
SAN	21.6	-0.60
SAP	26.2	0.61
SAT	12.4	0.26
SAY	6.7	0.20
SBC	37.9	0.01
SBF	11.9	0.09
SBG	9.9	0.12
SBL	12.8	0.03
SBP	19.6	-0.10
SBP PRA	24.8	0.05
SBR	22.1	0.18
SBT	25.4	0.17
SBW	13.1	-0.07
SC	45.3	0.32
SCG	25.8	-0.27
SCH	12.8	0.07
SCI	20.0	1.05
SCL	21.1	0.05
SCL PR	0.0	0.00
SCM	27.6	0.20
SCO	0.0	0.00
SCR A	8.8	0.00
SCR B	0.0	0.00
SCS	12.9	0.20
SCV A	0.0	0.00
SCV B	0.0	0.00
SCX	0.0	0.00
SCZ	18.2	0.58
SCZ A	0.0	0.00
SDA	0.0	0.00
SDC	24.4	0.00
SDE	24.0	-0.48
SDS	25.5	-0.32
SDT	11.6	-0.47
SE	10.1	0.10
SEE	40.1	-0.34
SEE PRA	41.7	0.15
SEH	20.1	0.35
SEI	13.7	0.12
SEL	10.5	0.03
SEM	10.5	0.15
SEN	11.7	0.05
SEN PRI	10.0	0.00
SEN PRL	24.7	0.50
SEO	12.1	-0.09
SEP PR	25.4	0.07
SEP PRA	25.2	-0.03
SF	10.6	0.12
SFA	20.9	0.18
SFD	20.7	0.70
SFE	2.3	-0.02
SFF	22.5	-0.02
SFG	44.8	-0.40
SFI	23.3	0.00
SFI PRB	0.0	0.00
SFI PRC	0.0	0.00
SFI PRD	21.8	-0.05
SFN	7.5	-0.25
SFP	10.0	0.58
SFY	24.1	-0.40
SGF	4.5	-0.06
SGG	6.8	-0.53
SGH	23.0	0.25
SGI	1.6	0.21
SGK	9.9	0.20
SGL	11.4	0.01
SGP	37.6	0.03
SGR	26.4	0.54
SGU	21.5	0.25
SGY	39.8	0.00
SHI	10.4	-0.17
SHR	51.9	-0.75
SHS	7.2	0.12
SHU	30.3	-0.09
SHU PRB	25.3	0.23
SHU PRC	25.5	0.20
SHU PRD	25.6	-0.05
SHW	24.2	0.18
SI	48.3	1.81
SIB	28.4	0.78
SID	10.3	0.09
SIE	7.0	0.40
SIH	18.2	-0.21
SII	48.1	-0.80
SIZ	8.9	0.06
SJH	13.0	0.02
SJI	32.9	0.30
SJI PRT	0.0	0.00
SJM	33.3	0.20
SJR	18.8	-0.51
SJR PRA	24.8	-0.05
SJR PRB	24.6	-0.02
SJT	11.4	0.10
SKE	42.6	1.38
SKI	0.8	-0.06
SKM	21.1	0.53
SKO	8.4	0.40
SKP	16.2	-0.76
SKS	6.7	0.02
SKT	20.3	0.15
SKT PRA	24.3	0.05
SKX	10.6	0.22
SKY	24.1	1.42
SL	6.3	0.41
SLA	13.3	-0.07
SLB	49.5	-1.37
SLC	20.6	-0.11
SLE	21.9	0.15
SLG	29.7	0.12
SLG PRA	0.0	0.00
SLI	2.3	0.15
SLM	82.3	-0.69
SLM PR	49.5	0.25
SLM PRA	0.0	0.00
SLR	12.6	0.25
SLT	1.5	-0.03
SM	2.4	-0.07
SMF	9.5	-0.04
SMG	40.5	0.03
SMP	11.6	-0.04
SMT	22.6	0.20
SMV A	8.4	0.20
SMV B	0.0	0.00
SNA	26.7	0.06
SNE	38.3	0.08
SNF	8.5	0.10
SNH	12.7	0.10
SNH PRZ	25.0	0.02
SNN	56.1	0.79
SNP	15.5	0.43
SNS	10.4	0.40
SNV	23.2	-0.31
SO	24.3	-0.15
SO PRA	25.4	-0.01
SO PRB	25.0	0.00
SO PRC	24.9	-0.09
SOA	8.7	0.00
SOI	12.0	-0.10
SOL	14.9	1.08
SON	23.4	0.22
SOR	58.3	1.23
SOR PR	31.0	0.50
SOV	9.6	0.31
SOV PR	59.8	1.50
SP	29.5	-0.39
SPA	7.1	0.00
SPC	48.1	-2.61
SPF	17.8	0.78
SPG	26.8	0.66
SPG PRB	77.0	0.00
SPG PRF	25.4	-0.30
SPG PRG	47.5	0.50
SPH	27.2	-0.20
SPI	22.8	0.23
SPM	6.9	-0.10
SPN	7.3	0.18
SPP	9.2	0.36
SPS PRT	25.3	-0.05
SPW	99.0	0.59
SPY	106.9	-0.27
SQA A	44.4	0.19
SQA B	0.0	0.00
SQA PR	79.0	-1.00
SQF	12.6	0.01
SQM	19.7	0.00
SQM A	0.0	0.00
SR	16.2	-0.01
SRA	19.9	0.34
SRE	22.4	0.85
SRE PRA	26.7	-0.05
SRF	24.8	0.25
SRH	24.5	0.22
SRI	6.6	-0.15
SRM	25.1	0.44
SRP	14.4	0.12
SRP PRT	25.0	0.00
SRR	6.0	0.20
SRT	16.7	0.18
SRV	6.5	0.05
SRW	47.8	-0.27
SRZ	28.8	0.89
SSD	51.0	0.39
SSP	61.5	0.89
SSR	24.9	0.17
SSS	28.5	-0.19
SSS PRB	26.4	-0.25
ST	29.5	0.50
STC	18.8	0.35
STD	7.8	0.17
STE	22.6	-0.20
STI	61.0	-0.14
STJ	69.5	1.80
STK	18.8	-0.22
STL	26.9	-0.11
STM	28.5	0.74
STN	8.4	-0.26
STO	7.0	-0.05
STR	21.8	0.45
STT	46.0	-0.23
STU	72.9	-0.84
STW	17.8	1.10
STZ	42.1	-1.04
STZ B	0.0	0.00
SU	30.1	-0.03
SU PRA	26.2	-0.11
SUA	24.7	0.14
SUD	24.8	0.18
SUG	19.2	-0.07
SUG PRA	25.5	0.00
SUI	37.1	0.43
SUN	37.6	-0.22
SUP	33.4	-0.24
SUR	14.0	0.06
SUS	39.9	0.40
SUT	0.9	0.11
SUT PRA	3.8	0.30
SV	20.5	-0.14
SVA PR	24.4	-0.10
SVC PR	17.3	0.00
SVM	11.0	0.26
SVU	21.0	0.56
SWC	16.4	-0.76
SWK	38.5	0.25
SWM	23.4	0.75
SWN	11.9	-0.04
SWO PRA	25.1	0.18
SWS	17.5	0.18
SWW	1.4	0.01
SWX	20.8	-0.15
SWX PRA	25.8	0.05
SWY	42.2	-0.77
SWZ	10.3	0.02
SXA	24.9	0.12
SXC	9.2	0.05
SXI	21.7	0.02
SXT	16.7	-0.29
SY	13.8	-0.12
SYD	20.1	0.40
SYK	57.2	-1.02
SYM	5.1	-0.01
SYT	10.2	-0.02
SYX	1.5	0.19
SYY	24.0	-0.26
SZ	1.2	0.00
SZA	58.1	0.97
SZE	31.8	0.70
T	15.7	-0.49
TA	24.0	-0.02
TAC	14.4	-0.06
TAI	25.8	0.10
TAP PRA	25.2	0.01
TAP PRB	25.1	0.13
TAR	9.8	0.20
TBC	16.2	0.81
TBE	13.2	0.45
TBH	26.0	0.57
TBL	31.6	1.13
TCB	42.4	-0.20
TCC	9.6	0.22
TCH	7.5	0.24
TCI	16.5	0.00
TCL PR	25.2	0.08
TCM	15.2	0.22
TCN	18.0	0.49
TCO	13.2	0.31
TCO PRA	22.5	-0.35
TCP	5.1	0.05
TCR	10.7	0.09
TCR PR	0.0	0.00
TCT	20.2	0.00
TD	22.6	0.04
TDF	6.9	0.20
TDI	0.0	0.00
TDK	44.7	0.18
TDP	2.8	-0.06
TDR	5.4	0.09
TDW	30.5	-0.16
TDY	15.3	-0.08
TE	25.7	-0.06
TE PRT	26.7	0.08
TEA	8.3	0.07
TED PRE	27.3	0.10
TED PRF	0.0	0.00
TED PRK	0.0	0.00
TED PRL	0.0	0.00
TEE	14.5	0.47
TEF	35.8	0.60
TEG PRA	26.3	0.05
TEI	10.3	0.12
TEK	19.4	0.35
TEM	0.0	0.00
TEN	1.9	0.00
TEO	6.3	0.25
TER	23.6	1.51
TEU	9.1	0.43
TEX	16.1	0.01
TFD	24.7	-0.05
TFI PR	25.0	0.07
TFI PRA	25.3	0.08
TFI PRB	25.8	0.00
TFR	1.9	-0.09
TFS	15.1	0.50
TFX	40.0	0.15
TG	18.5	-0.60
TGG	6.2	-0.04
TGH	62.3	-0.54
TGI	25.6	0.21
TGS	4.8	-0.16
TGT	30.8	2.05
TGX	9.0	-0.04
THC	59.1	-1.46
THO	32.6	2.29
THX	30.8	0.52
TI	82.5	1.05
TI A	0.0	0.00
TIE	3.1	0.04
TIF	23.8	-0.46
TII	23.0	0.23
TIN	50.5	-0.40
TJX	33.0	1.05
TK	27.9	-0.11
TKA	15.1	0.06
TKC	12.5	0.55
TKF	4.5	0.05
TKP	29.1	-0.88
TKR	13.8	-0.22
TKS	9.8	-0.12
TL	0.0	0.00
TLB	28.0	1.08
TLD	17.1	0.09
TLI	13.0	-0.07
TLK	5.2	0.10
TLM	35.4	-0.21
TLM PRA	25.5	-0.13
TLM PRB	25.4	0.10
TLS	12.4	-0.10
TM	49.5	-0.12
TMA	18.3	-0.42
TMA PRA	26.5	-0.19
TMB	23.8	0.97
TMK	37.4	-0.41
TMK PRM	25.1	-0.05
TMK PRMCL	0.0	0.00
TMM	7.6	0.26
TMM A	7.6	0.10
TMO	21.3	0.23
TMR	4.2	0.06
TMS	24.2	0.71
TMT	10.6	0.05
TMX	33.8	0.37
TNB	17.9	0.31
TNC	34.9	0.20
TND	19.3	0.69
TNE	10.1	0.26
TNH	5.6	0.15
TNL	24.4	0.84
TNM	8.4	-0.01
TNM B	0.0	0.00
TNT	9.9	0.05
TOD	8.2	0.07
TOL	29.7	1.65
TOM	11.9	0.93
TOO	26.8	0.32
TOT	70.8	-0.06
TOT WS	26.0	1.00
TOY	18.9	0.01
TP	19.0	0.35
TPC	32.1	0.06
TPL	37.8	0.10
TPP	34.1	0.58
TPR	2.3	0.04
TR	37.0	-0.13
TRA	2.3	-0.15
TRB	30.2	0.07
TRC	23.6	0.40
TRE	28.4	0.25
TRF	14.2	-0.01
TRH	85.2	-1.18
TRI	29.1	-2.19
TRK	23.1	0.65
TRM	10.6	0.03
TRN	24.9	-0.26
TRO	5.1	0.06
TRP	12.8	0.24
TRP PR	25.5	0.17
TRP PRCCL	25.2	0.01
TRR	41.9	-0.43
TRU	7.1	0.03
TRW	34.3	0.10
TRW PRB	0.0	0.00
TRW PRD	0.0	0.00
TRY	22.7	0.39
TSA	5.0	0.20
TSD	11.0	-0.50
TSG	26.0	0.31
TSM	12.7	0.35
TSN	9.5	0.31
TSO	13.3	0.14
TSP	9.1	0.22
TSS	19.3	0.89
TSU	10.2	0.56
TT	11.0	-0.04
TTC	42.7	0.45
TTF	2.7	0.03
TTI	17.5	-0.46
TTN	25.6	0.93
TTN PR	20.3	0.50
TTR	14.6	-0.20
TU	14.6	-0.21
TUC	0.0	0.00
TUE PRA	0.0	0.00
TUE PRB	0.0	0.00
TUE PRM	25.1	0.10
TUE PRO	25.0	-0.10
TUG	9.7	0.10
TUP	20.1	0.45
TV	30.7	0.15
TVC	26.2	0.02
TVE	25.6	0.05
TVF	6.0	-0.05
TVX	0.5	-0.02
TW	15.5	0.00
TWE	9.5	0.05
TWI	4.8	0.26
TWK	7.0	0.75
TWN	8.6	0.18
TWP	14.0	0.25
TWR	6.1	-0.02
TXA	89.9	-0.25
TXI	30.1	-0.02
TXI PRS	34.1	0.16
TXN	27.8	0.72
TXT	32.2	-0.73
TXT PRA	0.0	0.00
TXT PRB	0.0	0.00
TXT PRT	24.9	-0.04
TXU	45.9	-0.13
TXU PRA	24.6	0.19
TXU PRB	26.3	0.00
TXU PRC	50.0	0.00
TXU PRG	24.5	-0.29
TXU PRI	25.8	0.00
TY	18.7	0.17
TY PR	38.5	0.20
TYC	49.0	0.53
TYL	3.2	0.35
TZA	4.8	0.08
TZE	24.5	-0.08
TZF	25.6	-0.05
TZG	25.0	0.05
TZH	15.8	0.10
U	4.6	-0.04
UAG	14.8	1.23
