symbol	open	net change
BSF PRH	24.2	0.11
BSF PRJ	23.9	0.25
BSF PRQ	25.7	0.16
BSH	10.4	0.14
BSI	14.5	0.06
BSK	0.0	0.00
BSP	12.5	0.17
BSX	22.8	-0.02
BSY	67.4	1.20
BT PRA	25.2	-0.08
BTA PRA	26.0	0.09
BTF	15.5	0.30
BTH	19.2	0.34
BTO	7.9	0.05
BTU	30.0	0.00
BTY	50.4	0.32
BUD	42.0	-0.11
BUF PRC	24.9	0.00
BUH	0.0	0.00
BUR	0.6	0.02
BVC	7.1	0.03
BVF	47.8	-0.22
BVF PR	83.5	-0.50
BVF WS	0.0	0.00
BVG PRB	26.4	0.00
BVG PRC	25.3	-0.02
BVG PRCL	25.5	0.03
BVG PRE	25.4	-0.12
BVN	20.0	0.34
BVS	23.8	0.25
BW	10.6	-0.30
BWA	42.6	0.10
BWC	19.9	0.08
BWE	35.0	0.00
BWE PR	26.9	0.10
BWG	17.6	0.04
BWS	11.0	-0.05
BXG	2.0	0.05
BXP	35.1	0.27
BXS	15.0	0.34
BXT	10.7	0.06
BY	7.7	0.16
BYD	4.5	-0.13
BYH	5.1	-0.18
BZ	5.9	0.00
BZF	12.5	0.33
BZH	42.9	2.82
BZL	3.6	0.05
C	46.0	-0.03
C PRE	25.3	-0.11
C PRF	50.0	0.10
C PRG	50.0	0.50
C PRH	0.0	0.00
C PRKCL	25.3	0.01
C PRM	0.0	0.00
C PRN	25.0	-0.07
C PRQ	0.0	0.00
C PRR	22.3	-0.23
C PRU	25.5	0.00
C PRV	25.6	0.17
C PRW	25.3	-0.02
C PRX	25.1	0.06
C PRZ	25.0	0.02
CA	31.1	0.08
CAE	9.0	0.50
CAG	23.1	0.05
CAG PRACL	25.1	0.06
CAG PRB	20.5	0.20
CAG PRCCL	25.1	0.01
CAH	68.2	-1.09
CAJ	29.3	0.07
CAL	17.5	0.84
CAM	40.5	-0.90
CAO	7.3	0.57
CAT	45.5	-0.19
CAV	2.2	0.03
CB	71.0	-3.21
CBA	20.7	0.71
CBD	14.4	0.95
CBE	39.0	-0.27
CBF	25.3	-0.10
CBH	73.6	-0.59
CBH PRT	25.7	0.25
CBI	21.8	0.00
CBL	28.7	0.42
CBL PRA	25.1	-0.10
CBM	35.8	0.99
CBO	25.2	0.05
CBR	6.2	0.55
CBT	33.7	0.40
CBU	26.9	0.25
CBZ	5.5	0.02
CC	14.0	0.42
CCB	27.7	0.25
CCC	9.0	0.04
CCE	18.5	-0.25
CCG	26.2	0.19
CCH	0.3	0.00
CCI	11.4	0.43
CCJ	22.5	-0.26
CCJ PR	25.1	-0.10
CCK	1.8	0.00
CCL	22.0	0.27
CCM PR	18.6	-2.45
CCP PRA	57.6	-1.30
CCR	40.4	-0.31
CCS	25.4	0.14
CCT	26.0	0.10
CCU	37.3	0.62
CCZ	50.2	0.05
CD	13.0	0.07
CDA	0.0	0.00
CDC	22.0	-0.99
CDD	0.0	0.00
CDE	0.9	0.01
CDI	16.6	1.20
CDN	21.4	0.02
CDO	0.6	-0.05
CDT	12.8	0.00
CDX	17.4	0.02
CEA	11.4	0.00
CEC	37.9	0.94
CED	26.2	0.34
CEE	11.0	0.22
CEG	22.3	0.37
CEI	17.8	-0.14
CEI PRA	18.0	-0.10
CEL	2.7	-0.01
CEM	20.5	-0.18
CEN	16.2	0.43
CEO	19.8	-0.17
CER PR	0.0	0.00
CEY	27.9	0.72
CF	27.4	-0.10
CFB	24.9	0.06
CFB PR	0.0	0.00
CFD	9.0	-0.03
CFE	24.3	-0.02
CFI	2.5	0.03
CFN	25.2	0.05
CFP	25.2	0.06
CFR	27.5	-0.09
CGA	8.1	-0.64
CGC	19.8	0.50
CGD	24.5	0.05
CGI	36.4	-0.10
CGK	24.8	-0.30
CGO	13.4	-0.46
CGP PRG	32.1	-2.00
CGP PRI	32.3	0.08
CGP PRT	25.2	-0.05
CGV	25.1	0.00
CGW	15.6	0.00
CGX	16.8	-0.18
CH	7.1	0.06
CHB	8.1	0.71
CHD	26.0	0.00
CHE	28.2	0.35
CHG	40.1	-0.13
CHH	17.3	0.34
CHK	7.2	0.05
CHL	15.1	0.60
CHN	10.7	-0.08
CHP	20.6	0.24
CHS	26.8	0.55
CHT	0.5	0.02
CHT PRA	0.0	0.00
CHU	9.1	0.13
CHX	12.4	-0.10
CHX A	8.5	-0.16
CHZ	24.3	0.49
CI	75.0	-1.54
CIB	1.1	0.00
CIC	25.5	0.31
CIF	3.5	-0.02
CIG	9.8	0.25
CIH PRA	25.6	-0.05
CIK	5.3	0.12
CIL	0.0	0.00
CIN	30.5	-0.12
CIN PRA	78.5	-1.25
CIN PRB	0.0	0.00
CIN PRC	0.0	0.00
CIN PRJ	0.0	0.00
CIP	25.9	-0.01
CIR	16.8	0.70
CIV	23.7	-0.10
CIV A	19.3	0.01
CIV PRB	25.2	0.02
CIV PRC	24.9	0.19
CIV PRD	25.2	0.03
CIX	9.3	0.14
CJA	0.0	0.00
CJO	0.0	0.00
CJR	16.7	-0.20
CK	7.2	-0.02
CKC	5.8	0.30
CKH	39.5	0.44
CKI	26.0	0.15
CKP	10.2	0.41
CKR	7.1	0.20
CL	57.6	-0.26
CL PR	0.0	0.00
CLB	17.2	-0.94
CLC	24.3	0.30
CLD	0.0	0.00
CLE	12.1	-0.04
CLF	15.7	0.60
CLH	25.3	-0.25
CLI	30.7	0.50
CLJ	28.7	0.25
CLL	25.8	1.39
CLM	7.3	0.15
CLP	29.7	0.29
CLP PRA	24.3	0.11
CLP PRC	25.0	0.02
CLR	4.0	-0.12
CLS	33.8	1.17
CLU	26.0	-0.02
CLX	36.8	-0.42
CM	30.5	0.10
CMA	47.2	-0.31
CMA PRZ	25.1	0.10
CMB PR	25.4	0.05
CMC	30.2	0.02
CMH	13.7	0.45
CMK	8.3	-0.02
CMM	3.0	-0.01
CMM PRB	13.1	0.01
CMM PRF	0.0	0.00
CMM PRG	6.1	0.10
CMO	29.0	-0.69
CMO PRA	0.0	0.00
CMO PRB	12.2	0.09
CMP	29.8	0.00
CMS	21.0	0.66
CMS PRA	0.0	0.00
CMS PRB	60.5	-0.50
CMS PRJ	24.9	-0.05
CMS PRK	24.7	0.05
CMS PRL	25.9	0.23
CMS PRM	25.1	0.40
CMS PRN	25.6	0.03
CMU	5.6	0.09
CMV	25.3	0.03
CMX	14.0	-0.33
CNA	25.9	-0.73
CNB	12.6	0.03
CNC	3.7	-0.73
CNC PRG	12.5	-2.45
CNC PRH	12.9	-2.12
CNC PRT	12.0	-2.12
CNC PRV	12.5	-2.35
CNF	22.1	-0.21
CNF PRT	38.7	-0.58
CNH	5.2	0.12
CNI	39.9	-0.27
CNI PR	56.1	-0.03
CNJ	12.9	0.14
CNK PRA	0.0	0.00
CNL	20.1	0.11
CNN	6.7	-0.04
CNO	7.3	0.00
CNT	46.1	0.47
CNT PRA	24.9	-0.01
CNT PRB	0.0	0.00
CNX	26.8	0.78
CO	2.1	0.00
COA	10.3	-0.11
COC	25.9	-0.27
COE	1.7	0.01
COF	43.6	-2.25
COG	24.0	0.10
COH	27.0	0.90
COL	14.1	-0.61
COO	48.5	-0.52
COV	12.1	0.96
COV PR	0.0	0.00
COX	38.2	0.93
COX PRG	0.0	0.00
COX PRI	51.5	0.84
COY	8.5	-0.17
CP	16.6	0.21
CPB	28.4	-0.37
CPC	15.1	0.16
CPD	25.2	0.01
CPE	6.5	0.38
CPE PRA	23.6	0.10
CPG	44.8	-0.06
CPJ	31.3	0.33
CPK	19.2	-0.04
CPN	24.6	0.20
CPO	29.9	0.75
CPP	0.0	0.00
CPQ	9.1	-0.25
CPS	42.8	0.04
CPT	34.6	0.27
CPV	16.4	0.20
CPY	16.2	-0.20
CPZ PRA	25.2	0.39
CQB	0.7	0.04
CQB PRA	4.5	0.35
CQB PRB	5.6	0.40
CR	20.8	-0.23
CRA	23.0	-0.07
CRC	9.1	0.15
CRD A	9.0	-0.01
CRD B	12.0	-0.15
CRE	28.5	0.01
CRE PRB	25.1	-0.15
CRE PRC	24.9	0.00
CRE PRD	0.0	0.00
CRF	7.6	0.00
CRG	2.0	0.00
CRG PR	1.8	0.00
CRH	25.3	-0.15
CRK	7.6	-0.03
CRL	32.5	1.34
CRM	20.5	0.30
CRN	16.9	-0.30
CRO	4.8	0.11
CRR	37.1	-0.57
CRS	22.4	-0.50
CRT	18.1	0.75
CRY	31.4	1.40
CSB	32.3	0.10
CSC	36.4	-0.34
CSD PRA	25.7	0.00
CSG	24.8	0.25
CSH	1.4	-0.30
CSI	8.5	0.14
CSJ	25.1	0.15
CSK	27.1	1.35
CSL	30.2	-0.27
CSN	0.0	0.00
CSP	12.3	0.00
CSR	36.3	0.80
CSS	27.0	0.19
CSU	2.0	0.06
CSV	5.8	0.12
CSX	33.7	0.10
CT	5.1	0.10
CTA	3.4	0.08
CTB	13.1	0.16
CTC	10.4	0.02
CTG	2.3	0.55
CTH PR	26.4	0.00
CTH PRB	27.3	0.05
CTI	2.1	0.08
CTL	31.8	0.25
CTR	23.8	0.00
CTS	16.4	-0.05
CTV	19.4	0.25
CTX	36.4	2.07
CU	16.3	-0.48
CUM	31.4	0.30
CUR	12.5	0.07
CUZ	24.2	-0.01
CV	17.5	-0.19
CVC	34.5	0.25
CVD	19.0	-0.55
CVE PR	98.5	-0.05
CVE PRB	0.0	0.00
CVE PRL	0.0	0.00
CVE PRT	25.1	-0.25
CVG	27.9	0.23
CVH	21.8	0.28
CVI	25.1	0.08
CVS	24.4	-0.45
CVT	8.3	0.03
CVW	24.5	0.00
CVX	88.8	-0.45
CW	46.8	-0.45
CWE PRT	25.1	0.00
CWF	10.2	-0.15
CWG	6.3	-0.11
CWN	7.0	0.12
CWN PRA	49.7	0.00
CWP	13.9	-0.10
CWT	25.5	-0.34
CWZ	18.3	0.45
CX	23.1	-0.06
CX WS	1.3	-0.20
CXE	6.5	-0.09
CXH	10.6	0.11
CXP	33.0	0.29
CXR	21.5	0.65
CXT	11.2	-0.01
CXW	17.1	0.52
CXW PRA	17.5	0.45
CXW PRB	16.0	0.20
CY	19.2	1.20
CYA	21.5	-0.22
CYD	0.0	0.00
CYE	7.7	0.00
CYF	25.4	0.15
CYG	25.2	0.17
CYH	24.2	0.55
CYI	25.0	0.00
CYK	0.0	0.00
CYN	41.5	-0.36
CYP	0.0	0.00
CYR	25.1	0.05
CYT	23.6	0.37
CZ	14.5	0.00
CZB	19.8	0.28
CZN	8.6	0.29
CZN PR	0.0	0.00
D	61.1	-0.13
D PRA	25.9	0.17
DA	23.0	0.45
DAB	6.5	0.30
DAJ	0.0	0.00
DAL	23.2	0.11
DAP	15.7	0.99
DB	55.5	1.80
DBD	35.3	1.36
DCA	26.0	0.04
DCI	31.1	0.35
DCN	10.9	-0.13
DCO	10.2	0.70
DCP	61.1	0.20
DCQ	24.7	0.19
DCX	35.9	-0.80
DD	40.6	-0.24
DD PRA	0.0	0.00
DD PRB	0.0	0.00
DDF	13.0	-0.20
DDR	18.1	0.09
DDR PRA	25.0	0.05
DDR PRB	24.8	-0.11
DDR PRC	24.0	-0.10
DDR PRD	24.4	0.00
DDS	12.8	0.05
DDT	18.3	0.05
DE	37.7	-0.48
DEG	55.4	-0.40
DEL	26.3	0.34
DEO	41.0	0.10
DER	5.9	0.55
DES	0.0	0.00
DF	44.9	0.00
DFG	31.3	-0.85
DFS	6.9	0.12
DFT	26.4	-0.25
DG	14.5	0.25
DGF	11.9	-0.05
DGX	67.0	-1.36
DHF	5.1	0.03
DHI	20.8	1.75
DHR	55.6	0.19
DHY	5.1	0.01
DIA	91.9	-0.43
DIS	18.5	0.43
DIV	14.6	0.12
DJ	45.2	0.28
DJM	0.0	0.00
DJT	1.3	-0.25
DK	10.7	0.04
DKE	27.1	0.55
DL	16.7	-0.12
DLJ PRA	0.0	0.00
DLJ PRB	0.0	0.00
DLM	8.4	-0.04
DLP	18.0	-0.12
DLW	0.0	0.00
DLX	34.8	0.18
DME	34.3	-0.26
DMH	0.0	0.00
DMN	6.3	0.26
DNA	53.3	-0.24
DNB	31.1	0.25
DNP	11.0	-0.05
DNR	8.4	0.15
DNT	21.4	-0.28
DNY	24.9	0.67
DO	27.6	-0.01
DOL	19.8	0.90
DOM	19.0	0.58
DON	13.3	0.00
DOV	33.4	-0.15
DOW	34.1	-0.82
DOX	26.8	-0.39
DP	45.3	-1.20
DPH	11.9	-0.14
DPL	23.3	-0.26
DQ PRA	25.1	0.00
DQE	18.8	-0.10
DQU PRA	27.1	-1.00
DQU PRB	0.0	0.00
DQU PRC	0.0	0.00
DQU PRD	0.0	0.00
DQU PRE	0.0	0.00
